CommitId;RefactoringType;RefactoringDetail
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	yVals2 : ArrayList<Entry> to values2 : ArrayList<Entry> in method private setData(count int, range float) : void in class com.xxmassdeveloper.mpchartexample.FilledLineActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mChart : LineChart to chart : LineChart in class com.xxmassdeveloper.mpchartexample.FilledLineActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mFillColor : int to fillColor : int in class com.xxmassdeveloper.mpchartexample.FilledLineActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mChart : PieChart to chart : PieChart in class com.xxmassdeveloper.mpchartexample.HalfPieChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	yVals1 : ArrayList<BarEntry> to values : ArrayList<BarEntry> in method private setData(count int, range float) : void in class com.xxmassdeveloper.mpchartexample.HorizontalBarChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSeekBarX : SeekBar to seekBarX : SeekBar in class com.xxmassdeveloper.mpchartexample.HorizontalBarChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSeekBarY : SeekBar to seekBarY : SeekBar in class com.xxmassdeveloper.mpchartexample.HorizontalBarChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mChart : HorizontalBarChart to chart : HorizontalBarChart in class com.xxmassdeveloper.mpchartexample.HorizontalBarChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSeekBarX : SeekBar to seekBarX : SeekBar in class com.xxmassdeveloper.mpchartexample.InvertedLineChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSeekBarY : SeekBar to seekBarY : SeekBar in class com.xxmassdeveloper.mpchartexample.InvertedLineChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mChart : LineChart to chart : LineChart in class com.xxmassdeveloper.mpchartexample.InvertedLineChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSeekBarX : SeekBar to seekBarX : SeekBar in class com.xxmassdeveloper.mpchartexample.LineChartActivity1
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSeekBarY : SeekBar to seekBarY : SeekBar in class com.xxmassdeveloper.mpchartexample.LineChartActivity1
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mChart : LineChart to chart : LineChart in class com.xxmassdeveloper.mpchartexample.LineChartActivity1
d67ea481af1e8528c617dfd404d0c7827b0134b2;Inline Variable;Inline Variable	mult : float in method private setData(count int, range float) : void from class com.xxmassdeveloper.mpchartexample.LineChartActivity2
d67ea481af1e8528c617dfd404d0c7827b0134b2;Inline Variable;Inline Variable	mult : float in method private setData(count int, range float) : void from class com.xxmassdeveloper.mpchartexample.LineChartActivity2
d67ea481af1e8528c617dfd404d0c7827b0134b2;Inline Variable;Inline Variable	mult : float in method private setData(count int, range float) : void from class com.xxmassdeveloper.mpchartexample.LineChartActivity2
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	yVals1 : ArrayList<Entry> to values1 : ArrayList<Entry> in method private setData(count int, range float) : void in class com.xxmassdeveloper.mpchartexample.LineChartActivity2
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	yVals2 : ArrayList<Entry> to values2 : ArrayList<Entry> in method private setData(count int, range float) : void in class com.xxmassdeveloper.mpchartexample.LineChartActivity2
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	yVals3 : ArrayList<Entry> to values3 : ArrayList<Entry> in method private setData(count int, range float) : void in class com.xxmassdeveloper.mpchartexample.LineChartActivity2
d67ea481af1e8528c617dfd404d0c7827b0134b2;Parameterize Variable;Parameterize Variable	mult : float to range : float in method private setData(count int, range float) : void in class com.xxmassdeveloper.mpchartexample.LineChartActivity2
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSeekBarX : SeekBar to seekBarX : SeekBar in class com.xxmassdeveloper.mpchartexample.LineChartActivity2
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSeekBarY : SeekBar to seekBarY : SeekBar in class com.xxmassdeveloper.mpchartexample.LineChartActivity2
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mChart : LineChart to chart : LineChart in class com.xxmassdeveloper.mpchartexample.LineChartActivity2
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	yVals : ArrayList<Entry> to values : ArrayList<Entry> in method private getData(count int, range float) : LineData in class com.xxmassdeveloper.mpchartexample.LineChartActivityColored
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mCharts : LineChart[] to charts : LineChart[] in class com.xxmassdeveloper.mpchartexample.LineChartActivityColored
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSeekBarX : SeekBar to seekBarX : SeekBar in class com.xxmassdeveloper.mpchartexample.LineChartTime
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mChart : LineChart to chart : LineChart in class com.xxmassdeveloper.mpchartexample.LineChartTime
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	e1 : ArrayList<Entry> to values1 : ArrayList<Entry> in method private generateDataLine(cnt int) : LineData in class com.xxmassdeveloper.mpchartexample.ListViewMultiChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	e2 : ArrayList<Entry> to values2 : ArrayList<Entry> in method private generateDataLine(cnt int) : LineData in class com.xxmassdeveloper.mpchartexample.ListViewMultiChartActivity
