CommitId;RefactoringType;RefactoringDetail
e27d4c0e08b9f427085a2f00df9af9494288192d;Change Return Type;Change Return Type	Key to Key<java.util.Optional<T>> in method public getKey() : Key<java.util.Optional<T>> in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProvider
e27d4c0e08b9f427085a2f00df9af9494288192d;Change Parameter Type;Change Parameter Type	bindingSelection : BindingSelection<?> to bindingSelection : BindingSelection<T> in method package JavaOptionalProvider(bindingSelection BindingSelection<T>, optionalKey Key<java.util.Optional<T>>) in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProvider
e27d4c0e08b9f427085a2f00df9af9494288192d;Change Parameter Type;Change Parameter Type	optionalKey : Key<?> to optionalKey : Key<java.util.Optional<T>> in method package JavaOptionalProvider(bindingSelection BindingSelection<T>, optionalKey Key<java.util.Optional<T>>) in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProvider
e27d4c0e08b9f427085a2f00df9af9494288192d;Change Return Type;Change Return Type	Object to java.util.Optional<T> in method protected doProvision(context InternalContext, currentDependency Dependency<?>) : java.util.Optional<T> in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProvider
e27d4c0e08b9f427085a2f00df9af9494288192d;Rename Parameter;Rename Parameter	dependency : Dependency to currentDependency : Dependency<?> in method protected doProvision(context InternalContext, currentDependency Dependency<?>) : java.util.Optional<T> in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProvider
e27d4c0e08b9f427085a2f00df9af9494288192d;Change Parameter Type;Change Parameter Type	dependency : Dependency to currentDependency : Dependency<?> in method protected doProvision(context InternalContext, currentDependency Dependency<?>) : java.util.Optional<T> in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProvider
e27d4c0e08b9f427085a2f00df9af9494288192d;Change Return Type;Change Return Type	Object to R in method public acceptExtensionVisitor(visitor BindingTargetVisitor<B,R>, binding ProviderInstanceBinding<? extends B>) : R in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProvider
e27d4c0e08b9f427085a2f00df9af9494288192d;Change Parameter Type;Change Parameter Type	visitor : BindingTargetVisitor to visitor : BindingTargetVisitor<B,R> in method public acceptExtensionVisitor(visitor BindingTargetVisitor<B,R>, binding ProviderInstanceBinding<? extends B>) : R in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProvider
e27d4c0e08b9f427085a2f00df9af9494288192d;Change Parameter Type;Change Parameter Type	binding : ProviderInstanceBinding to binding : ProviderInstanceBinding<? extends B> in method public acceptExtensionVisitor(visitor BindingTargetVisitor<B,R>, binding ProviderInstanceBinding<? extends B>) : R in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProvider
e27d4c0e08b9f427085a2f00df9af9494288192d;Change Variable Type;Change Variable Type	result : Object to result : T in method protected doProvision(context InternalContext, currentDependency Dependency<?>) : java.util.Optional<T> in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProvider
